"Id","Caso de Prueba","Descripción","Fecha","Área Funcional / Sub proceso","Funcionalidad / Característica","Datos / Acciones de Entrada","Resultado Esperado","Requerimientos de Ambiente de Pruebas","Procedimientos especiales requeridos","Dependencias con otros casos de Prueba"
"TC-001","Inicio de sesión exitoso","Verificar que un usuario registrado puede iniciar sesión en el sistema","2026-06-27","Gestión de Usuarios / Autenticación","Login de Usuarios","Ingresar email y contraseña válidos; hacer clic en iniciar sesión","El sistema autentica al usuario, genera un token en la tabla sesiones y redirige según su rol (administrador, veterinario o cliente)","Base de datos activa y servicio Auth corriendo en Node.js","Ninguno","Ninguna"
"TC-002","Registro de nueva mascota","Verificar la creación de una nueva mascota asociada a un cliente","2026-06-27","Gestión de Mascotas / Registro","Crear Mascota","Ingresar nombre, fecha nacimiento, sexo, id_especie y id_usuario (cliente); enviar formulario","La mascota es registrada en la BD correctamente y se muestra en el perfil del cliente","Datos de la tabla 'especies' y 'usuarios' previamente cargados","Ninguno","TC-001"
"TC-003","Programación de cita veterinaria","Validar que se puede agendar una cita para una mascota con un veterinario","2026-06-27","Gestión de Citas / Agendamiento","Programar Cita","Seleccionar id_mascota, id_veterinario, id_servicio, fecha y hora; hacer clic en guardar","La cita se guarda con estado 'programada', asignando el servicio y reservando el horario","Veterinarios (con su especialidad) y Servicios registrados en BD","Ninguno","TC-002"
"TC-004","Registro de diagnóstico en consulta","Verificar que el veterinario puede registrar un diagnóstico durante la cita","2026-06-27","Gestión Médica / Consulta","Registro de Diagnóstico","Seleccionar cita 'programada', ingresar síntomas, diagnóstico y observaciones; guardar","Se inserta el registro en la tabla 'diagnosticos', enlazado a la cita y al veterinario, pasando la cita a 'completada'","Cita agendada previamente","El usuario logueado debe tener rol 'veterinario'","TC-003"
"TC-005","Asignación de tratamiento","Comprobar que se puede recetar un medicamento a partir de un diagnóstico","2026-06-27","Gestión Médica / Tratamientos","Receta / Tratamiento","Seleccionar el diagnóstico, elegir id_medicamento, ingresar dosis, frecuencia y duración (días)","El tratamiento se registra en estado 'activo' con su fecha de inicio y enlazado al medicamento","Medicamentos creados en catálogo","Ninguno","TC-004"
"TC-006","Aplicación de vacuna","Validar el registro de vacunación de una mascota","2026-06-27","Gestión Médica / Vacunación","Aplicar Vacuna","Seleccionar mascota, id_vacuna, fecha aplicación, lote y calcular próxima fecha","Se registra en la tabla 'vacunaciones' con la fecha de próxima dosis para su posterior seguimiento","Vacunas registradas en la tabla 'vacunas'","Ninguno","TC-002"
"TC-007","Descuento de stock en inventario","Verificar que el sistema reduce el inventario al dispensar un medicamento","2026-06-27","Gestión de Inventario / Stock","Control Inventario","Confirmar uso de medicamento en tratamiento o venta directa","La tabla 'inventarios' resta la cantidad utilizada de la existencia actual del id_medicamento","Medicamento con stock inicial en 'inventarios'","Ninguno","TC-005"
"TC-008","Generación de factura de atención","Asegurar la correcta facturación tras una consulta completada","2026-06-27","Facturación / Pagos","Emitir Factura","Seleccionar cita, cargar servicios (ej. precio_base) y medicamentos usados; calcular subtotal","Se crea la factura en estado 'pendiente' y sus correspondientes registros en 'factura_detalles' con el subtotal correcto","Cita completada y tratamientos/servicios asociados","Ninguno","TC-004"
"TC-009","Actualización de pago de factura","Verificar el proceso de cobro de una factura pendiente","2026-06-27","Facturación / Pagos","Pago Factura","Seleccionar factura 'pendiente', ingresar método_pago (efectivo/tarjeta) y confirmar","La tabla 'facturas' cambia a estado 'pagada' y se registra la fecha_pago","Factura generada y en estado pendiente","Ninguno","TC-008"
"TC-010","Generación de notificaciones al cliente","Validar envío o registro de notificación por cita programada","2026-06-27","Notificaciones / Alertas","Notificación Cita","Crear la cita (TC-003) y verificar tabla de notificaciones","Se inserta registro en la tabla 'notificaciones' tipo 'cita' con id_usuario, estado 'leida' en 0 (falso)","Ninguno","Ninguno","TC-003"
