"ID Prueba","Resultado Obtenido","Estado","Última Fecha de Estado","Observaciones"
"TC-001","El sistema genera el token JWT y responde código 200.","Exitoso","27/06/2026","Ninguna."
"TC-002","La mascota se crea exitosamente retornando su ID.","Exitoso","27/06/2026","Ninguna."
"TC-003","La cita se programa con estado 'programada' y guarda la fecha correctamente.","Exitoso","27/06/2026","Se ajustó formato de fecha en Backend para MySQL."
"TC-004","El diagnóstico se guarda y el estado de la cita cambia a 'completada'.","Exitoso","27/06/2026","Ninguna."
"TC-005","El tratamiento se crea adecuadamente para el diagnóstico.","Exitoso","27/06/2026","Ninguna."
"TC-006","Vacuna registrada y próxima fecha calculada correctamente en meses.","Exitoso","27/06/2026","Se actualizaron nombres de columna del modelo (duracion_proteccion_meses)."
"TC-007","El stock en inventarios se reduce automáticamente.","Exitoso","27/06/2026","Ninguna."
"TC-008","La factura es generada con su total calculado correctamente.","Exitoso","27/06/2026","Ajustada a la estructura de la base de datos (se omitió subtotal/impuestos)."
"TC-009","El pago actualiza el estado de la factura a 'pagada'.","Exitoso","27/06/2026","Ninguna."
"TC-010","Notificaciones listadas y marcadas leídas exitosamente.","Exitoso","27/06/2026","Ordenadas en memoria (Node) para evitar requerir índice compuesto en Firebase."
